,peasantProfile,peasantEmotionalState,currentSeason,currentCropCare,robberyAccount,ptwDate,currentMoneyOrigin,currentPeasantActivityType,currentPeasantLeisureType,currentResourceNeededType,currentDay,timeLeftOnDay,newDay,weekBlock,busy,askedForLoanToday,robbedToday,internalCurrentDate,peasantKind,rainfallConditions,peasantFamilyMinimalVital,health,productivity,wellBeging,worker,peasantQualityFactor,liveStockAffinity,farm,cropSize,housing,servicesPresence,housingSize,housingCondition,housingLocation,farmDistance,money,totalIncome,loanAmountToPay,housingQuailty,timeSpentOnMaintenance,cropHealth,farmReady,harvestedWeightExpected,processedCrop,cropEficiency,processedWeight,processingTime,trainingLevel,trainingAvailability,trainingRelevance,trainingCost,irrigation,irrigationTime,pestControl,diseasedCrop,weedControl,infestedCrop,suppliesAvailability,toolsAvailability,associated,neighbors,collaborationValue,totalHarvestedWeight,healthProgramsAvailability,livestockFarming,livestockHealth,livestockNumber,familyTime,peasantFamilyAffinity,familyTimeAvailability,communications,socialCompatibility,restingTimeAvailibility,peasantRestAffinity,leisureOptions,sellDone,waterAvailable,pesticidesAvailable,tools,supplies,riceSeedsByHectare,seeds,harvestedWeight,startRiceSeason,endRiceSeason,currentCropName,purpose,label
209,PeasantFamily_5,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,21,0.0,false,true,false,false,false,2022-01-21,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12179,1.0,1.0,1.0,1.0,1.0,1.0,5711999.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2217,0,10,1,20,6089,0,01/05/2022,null,ñame,farmer,PeasantFamily_5_ThrivingPeasant
219,PeasantFamily_5,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,22,0.0,false,false,false,false,false,2022-01-22,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12179,1.0,1.0,1.0,1.0,1.0,1.0,5693999.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2217,0,10,1,20,6089,0,01/05/2022,null,ñame,farmer,PeasantFamily_5_ThrivingPeasant
229,PeasantFamily_5,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,23,0.0,false,false,false,false,false,2022-01-23,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12179,1.0,1.0,1.0,1.0,1.0,1.0,5675999.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2217,0,10,1,20,6089,0,01/05/2022,null,ñame,farmer,PeasantFamily_5_ThrivingPeasant
239,PeasantFamily_5,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,24,0.0,false,false,false,false,false,2022-01-24,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12179,1.0,1.0,1.0,1.0,1.0,1.0,5657999.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2217,0,10,1,20,6089,0,01/05/2022,null,ñame,farmer,PeasantFamily_5_ThrivingPeasant
249,PeasantFamily_5,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,25,0.0,false,false,false,false,false,2022-01-25,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12179,1.0,1.0,1.0,1.0,1.0,1.0,5639999.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2217,0,10,1,20,6089,0,01/05/2022,null,ñame,farmer,PeasantFamily_5_ThrivingPeasant
259,PeasantFamily_5,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,26,0.0,false,false,false,false,false,2022-01-26,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12179,1.0,1.0,1.0,1.0,1.0,1.0,5621999.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2217,0,10,1,20,6089,0,01/05/2022,null,ñame,farmer,PeasantFamily_5_ThrivingPeasant
269,PeasantFamily_5,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,27,0.0,false,false,false,false,false,2022-01-27,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12179,1.0,1.0,1.0,1.0,1.0,1.0,5603999.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2217,0,10,1,20,6089,0,01/05/2022,null,ñame,farmer,PeasantFamily_5_ThrivingPeasant
279,PeasantFamily_5,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,28,0.0,false,true,false,false,false,2022-01-28,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12179,1.0,1.0,1.0,1.0,1.0,1.0,5585999.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2217,0,10,1,20,6089,0,01/05/2022,null,ñame,farmer,PeasantFamily_5_ThrivingPeasant
289,PeasantFamily_5,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,29,0.0,false,false,false,false,false,2022-01-29,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12179,1.0,1.0,1.0,1.0,1.0,1.0,5567999.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2217,0,10,1,20,6089,0,01/05/2022,null,ñame,farmer,PeasantFamily_5_ThrivingPeasant
297,PeasantFamily_5,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,30,0.0,false,false,false,false,false,2022-01-30,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12179,1.0,1.0,1.0,1.0,1.0,1.0,5549999.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2217,0,10,1,20,6089,0,01/05/2022,null,ñame,farmer,PeasantFamily_5_ThrivingPeasant
