,peasantProfile,peasantEmotionalState,currentSeason,currentCropCare,robberyAccount,ptwDate,currentMoneyOrigin,currentPeasantActivityType,currentPeasantLeisureType,currentResourceNeededType,currentDay,timeLeftOnDay,newDay,weekBlock,busy,askedForLoanToday,robbedToday,internalCurrentDate,peasantKind,rainfallConditions,peasantFamilyMinimalVital,health,productivity,wellBeging,worker,peasantQualityFactor,liveStockAffinity,farm,cropSize,housing,servicesPresence,housingSize,housingCondition,housingLocation,farmDistance,money,totalIncome,loanAmountToPay,housingQuailty,timeSpentOnMaintenance,cropHealth,farmReady,harvestedWeightExpected,processedCrop,cropEficiency,processedWeight,processingTime,trainingLevel,trainingAvailability,trainingRelevance,trainingCost,irrigation,irrigationTime,pestControl,diseasedCrop,weedControl,infestedCrop,suppliesAvailability,toolsAvailability,associated,neighbors,collaborationValue,totalHarvestedWeight,healthProgramsAvailability,livestockFarming,livestockHealth,livestockNumber,familyTime,peasantFamilyAffinity,familyTimeAvailability,communications,socialCompatibility,restingTimeAvailibility,peasantRestAffinity,leisureOptions,sellDone,waterAvailable,pesticidesAvailable,tools,supplies,riceSeedsByHectare,seeds,harvestedWeight,startRiceSeason,endRiceSeason,currentCropName,purpose
202,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,21,0.0,false,true,false,false,false,21/01/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5962138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
212,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,22,0.0,false,false,false,false,false,22/01/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5944138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
222,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,23,0.0,false,false,false,false,false,23/01/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5926138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
232,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,24,0.0,false,false,false,false,false,24/01/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5908138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
242,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,25,0.0,false,false,false,false,false,25/01/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5890138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
252,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,26,0.0,false,false,false,false,false,26/01/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5872138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
262,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,27,0.0,false,false,false,false,false,27/01/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5854138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
272,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,28,0.0,false,true,false,false,false,28/01/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5836138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
282,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,29,0.0,false,false,false,false,false,29/01/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5818138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
292,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,30,0.0,false,false,false,false,false,30/01/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5800138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
302,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,31,0.0,false,false,false,false,false,31/01/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5782138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
312,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,32,0.0,false,false,false,false,false,01/02/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5764138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
322,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,33,0.0,false,false,false,false,false,02/02/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5746138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
332,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,34,0.0,false,false,false,false,false,03/02/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5728138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
342,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,35,0.0,false,true,false,false,false,04/02/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5710138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
352,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,36,0.0,false,false,false,false,false,05/02/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5692138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
362,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,37,0.0,false,false,false,false,false,06/02/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5674138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
372,PeasantFamily_8,[],NONE,NONE,0,null,NONE,NONE,LEISURE,null,38,0.0,false,false,false,false,false,07/02/2022,ThrivingPeasant,wet,18000.0,100,0.0,1.0,true,0.7,0.7,true,12680,1.0,1.0,1.0,1.0,1.0,1.0,5656138.0,0.0,0,1.0,1.0,1.0,0.0,1.0,false,0.0,0.0,1.0,1.0,0.7,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,false,0,0.0,0.0,1.0,false,1.0,0,0.0,0.7,1.0,0.0,0.7,0.7,0.7,1.0,false,2268,0,10,1,20,6340,0,01/05/2022,null,ñame,farmer
